type	by	post_id	post_link	post_message	picture	full_picture	link	link_domain	post_published	post_published_unix	post_published_sql	likes_count_fb	comments_count_fb	reactions_count_fb	shares_count_fb	engagement_fb	comments_retrieved	comments_base	comments_replies	comment_likes_count	rea_NONE	rea_LIKE	rea_LOVE	rea_WOW	rea_HAHA	rea_SAD	rea_ANGRY	rea_THANKFUL
photo	post_user_212370502141521	212370502141521_1512253542153204	https://www.facebook.com/212370502141521/posts/1512253542153204	Por si  a alguno le sobran fotos   ya sabéis . Yo me bajo al bar de al lado de mi casa para ver si les sobra cerveza  que yo si se q hacer con ella 😂😂😂	https://scontent.xx.fbcdn.net/v/t1.0-0/s130x130/14725466_10153772371111470_8438820941936833952_n.jpg?oh=3a43dad6799791828c6ae318771b0cb9&oe=58A422C3	https://scontent.xx.fbcdn.net/v/t1.0-9/s720x720/14725466_10153772371111470_8438820941936833952_n.jpg?oh=dd1d447806554946fb62ebdfecca91ad&oe=58ACFBCE	https://www.facebook.com/photo.php?fbid=10153772371111470&set=gm.1512253542153204&type=3	facebook.com	2016-10-14T17:29:56+0000	1476466196	2016-10-14 19:29:56	12	36	40	5	81	36	19	17	40	0	12	0	1	11	0	16	0
photo	post_user_212370502141521	212370502141521_1510200605691831	https://www.facebook.com/212370502141521/posts/1510200605691831	Buenas tardes. Ojalá alguien pueda darme algo de luz a esta duda:  ¿Puede venderse una fotografía realizada dentro de un museo (pedí permiso en su momento al propio centro) en la cual sale una obra de un artista que estaba exponiendo? Una agencia americana quiere representarme y una de las imágenes que me gustaría incluir en su portfolio de venta es precisamente ésta en la que aparece una escultura. GRACIAS de antemano.	https://scontent.xx.fbcdn.net/v/t1.0-0/s130x130/14633036_10207485712000190_6621566235818918366_n.jpg?oh=8090df42de363739196f8a50f32aa6e5&oe=58A58A82	https://scontent.xx.fbcdn.net/v/t1.0-9/q84/s720x720/14633036_10207485712000190_6621566235818918366_n.jpg?oh=9c356abe52658e4e1814287fd3ad95b1&oe=58A70E9A	https://www.facebook.com/photo.php?fbid=10207485712000190&set=gm.1510200605691831&type=3	facebook.com	2016-10-12T17:55:10+0000	1476294910	2016-10-12 19:55:10	6	33	7	0	40	33	17	16	25	0	6	0	1	0	0	0	0
photo	post_user_212370502141521	212370502141521_1508022379242987	https://www.facebook.com/212370502141521/posts/1508022379242987	Hola  hoy en El Confidencial aparece una foto mía que ha sido recortada y aparece con el nombre de Pepe Torres agencia EFE  alucino  adjunto pantallazo y original. Es verdad que yo colaboré con la Universiada y que parte de mis fotos se usaron por la organización para sus publicaciones y web  pero nunca esperaba encontrarla en prensa fuera de la Universiada y lo que mas me molesta es que aparezca un nombre en ella que absolutamente tiene nada que ver con la obtención de la misma salvo el recortarla...por supuesto no tengo ningún contrato de cesión con la Universiada por que fue una colaboración voluntaria pero si me gustaría que se reconociera la autoría o al menos que no se usurpara y si ha habido beneficio económico que se donará y no lucrara al que pretende beneficiarse del trabajo ajeno con malas artes. Como debería proceder  me dirijo al medio o al  supuesto  fotógrafo...	https://scontent.xx.fbcdn.net/v/t1.0-0/s130x130/14590321_10154572297774402_3694551658873257355_n.jpg?oh=ea713ad55de6ea94276200ee802fb752&oe=58ABFD4A	https://scontent.xx.fbcdn.net/v/t1.0-9/s720x720/14590321_10154572297774402_3694551658873257355_n.jpg?oh=758ce96fa3c8a1b05143465cebb5dd96&oe=589EEE47	https://www.facebook.com/photo.php?fbid=10154572297774402&set=gm.1508022379242987&type=3	facebook.com	2016-10-10T10:23:38+0000	1476095018	2016-10-10 12:23:38	3	23	7	1	31	23	15	8	23	0	2	0	1	0	1	2	0
status	post_user_212370502141521	212370502141521_1511054782273080	https://www.facebook.com/212370502141521/posts/1511054782273080	Hola  al final necesito un abogado pq aunque EFE reconoce que fue engañado por su fotógrafo haciéndose pasar por el autor de mi foto  el a mi no me reconoce nada y creo que corresponde reclamar a EFE que al final es quién le vende la foto a El Confidencial y que se aclaren entre ellos. Algún abogado conocedor de estos asuntos? (Esto está relacionado con mi post de hace un par de días)					2016-10-13T15:16:29+0000	1476371789	2016-10-13 17:16:29	7	13	8	1	22	13	7	6	13	0	7	0	0	0	0	1	0
link	post_user_212370502141521	212370502141521_1510958092282749	https://www.facebook.com/212370502141521/posts/1510958092282749	Hasta la Iglesia ya se hace con fotografías de manera gratuita engañando a la gente con un supuesto  concurso . Pero  no contentos con ello  encima tienen la jeta de pedir que las fotos sean impresas. Lo mejor  los premios xD  Aquí la noticia... En fin...  	https://external.xx.fbcdn.net/safe_image.php?d=AQBO0dgmhqQ89SQG&w=130&h=130&url=http%3A%2F%2Fzigzagdigital.com%2Fupload%2Fimg%2Fperiodico%2Fimg_15664.jpg&cfs=1	https://external.xx.fbcdn.net/safe_image.php?d=AQDCbQXw-RPo7oIx&url=http%3A%2F%2Fzigzagdigital.com%2Fupload%2Fimg%2Fperiodico%2Fimg_15664.jpg	http://zigzagdigital.com/not/13513/i-concurso-fotografico-lsquo-camino-del-calvario-rsquo-/	zigzagdigital.com	2016-10-13T13:04:58+0000	1476363898	2016-10-13 15:04:58	1	25	4	3	32	14	12	2	5	0	1	0	0	0	0	3	0
photo	post_user_212370502141521	212370502141521_1509993219045903	https://www.facebook.com/212370502141521/posts/1509993219045903	Hoy hablaba con un chef de cocina y me decía que estaban pensando en prohibir fotografiar sus platos por dos motivos:   1.- No salen bien fotografiados y suelen quedar  feos  (o ya  empezados ) 2.- Otros chefs les copian las presentaciones  En resumen  que he encontrado otro sector que tampoco sabe bien cómo poder poner puertas al campo. #NoEstamosSolos ;)	https://scontent.xx.fbcdn.net/v/t1.0-0/s130x130/14717229_10154535919087207_6718635058410683106_n.jpg?oh=f3dcf777610ca0c559e303c46e99612f&oe=58986502	https://scontent.xx.fbcdn.net/v/t1.0-0/p480x480/14717229_10154535919087207_6718635058410683106_n.jpg?oh=c5f45bdf4ef743844806f234a50c76a1&oe=58A14611	https://www.facebook.com/photo.php?fbid=10154535919087207&set=gm.1509993219045903&type=3	facebook.com	2016-10-12T13:03:16+0000	1476277396	2016-10-12 15:03:16	4	9	4	0	13	9	7	2	8	0	4	0	0	0	0	0	0
status	post_user_212370502141521	212370502141521_1510833748961850	https://www.facebook.com/212370502141521/posts/1510833748961850						2016-10-13T10:52:07+0000	1476355927	2016-10-13 12:52:07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
link	post_user_212370502141521	212370502141521_1509955535716338	https://www.facebook.com/212370502141521/posts/1509955535716338	Información interesante sobre contratos para fotógrafos.	https://external.xx.fbcdn.net/safe_image.php?d=AQDneQwQvTbAqS6Y&w=130&h=130&url=http%3A%2F%2Fmarketingparafotografos.es%2Fwp-content%2Fuploads%2F2016%2F10%2Fcontratos-de-fotografia.jpg&cfs=1	https://external.xx.fbcdn.net/safe_image.php?d=AQCoHYmWRHSS_i_j&url=http%3A%2F%2Fmarketingparafotografos.es%2Fwp-content%2Fuploads%2F2016%2F10%2Fcontratos-de-fotografia.jpg	http://marketingparafotografos.es/contratos-de-fotografia/	marketingparafotografos.es	2016-10-12T11:55:14+0000	1476273314	2016-10-12 13:55:14	45	1	45	27	73	1	1	0	1	0	44	0	0	0	0	0	0
photo	post_user_212370502141521	212370502141521_1510084695703422	https://www.facebook.com/212370502141521/posts/1510084695703422	Otro concurso con el que pretenden hacerse de una colección por cuatro euros y en la que despojan al fotógrafo de cualquier tipo de derecho sobre las fotografías. Articulo 12.	https://scontent.xx.fbcdn.net/v/t1.0-0/s130x130/14671200_1152263761520119_40386958624016433_n.jpg?oh=3d047f01b059ea8838125de332aa1316&oe=585F0C69	https://scontent.xx.fbcdn.net/t31.0-8/s720x720/14615769_1152263761520119_40386958624016433_o.jpg	https://www.facebook.com/AFelx/photos/a.108972649182574.17610.106061972806975/1152263761520119/?type=3	facebook.com	2016-10-12T15:24:44+0000	1476285884	2016-10-12 17:24:44	0	2	0	0	2	2	1	1	0	0	0	0	0	0	0	0	0
status	post_user_212370502141521	212370502141521_1500605266651365	https://www.facebook.com/212370502141521/posts/1500605266651365	Esta web vende todas nuestras fotos por la cara  ya les he escrito.  He hecho una busqueda de Tino Soriano  os aconsejo que miréis si están vuestras fotos: http://wallpart.com/search?keyword=tino+soriano&page=3					2016-10-02T11:30:47+0000	1475407847	2016-10-02 13:30:47	10	49	26	5	80	49	33	16	40	0	10	0	3	0	0	13	0
