,comunidades1,label
0,0,SuMalevolencia_
363,0,ETSIITenlucha
344,0,viejacalva
343,0,ElBaulP
339,0,voidCarlos
329,0,ETSIIT_Furiosa
116,0,atc_ugr
63,0,robertosolinsur
254,0,softwarejimenez
246,0,acanasvargas
72,0,Lopuiz
225,0,OpenSWAD
224,0,swad_ugr
222,0,SWADroid
221,0,louisverona
211,0,AndJoseGM
207,0,AlvaroGRedondo
205,0,Nitehack
202,0,indaleciorector
199,0,P4Tr1ci0
197,0,Haskell_ETSIIT
196,0,nitrositolinux
155,0,ETSIIT_UGR
144,0,fj_melero
140,0,JavierIzqV
109,0,UGRemprendedora
129,0,Curro_Rico
127,0,_musicalnote
114,0,wildunix
122,0,SWADberry
366,0,delegaETSIIT
39,0,siqueira_crack
58,0,GrupoTrevenque
117,0,LSI_UGR
14,0,LaYoEl
492,0,Alberto_Huertas
483,1,DannyAgonist
466,1,bigbangtheory
453,1,thevinceneil
451,1,LVudu93
446,1,LauraRVeliz
208,1,DM_Official
195,1,cobhc
209,1,top500supercomp
214,1,ArtesCabreadas
216,1,archlinux
442,1,MrsUntitled
440,1,DaveMustaine
432,1,elprofedefoto
428,1,28_mishell
229,1,Epica
236,1,alcampo
444,1,Clara_Estelles
192,1,lambofgod
182,1,oozora_otenki
180,1,faerecio
536,1,Dkindahouse
530,1,CristinaOtero_
522,1,Ladnir9
516,1,AWhiteGluz
131,1,crosspens
132,1,LetrasBreves
513,1,PiensaEnMetal
135,1,timonDeNautilus
502,1,Jucave2
141,1,pictoline
149,1,HaskellOrg
151,1,noconmisfotos
487,1,papayaeh
163,1,SomasCure
170,1,_contr4st
175,1,SerranoG23
178,1,pyladies
240,1,HelloStampsy
390,1,VitaimanA
389,1,Fall_tx
245,1,sara_herranz
340,1,DivinoDisturbo
410,1,LuthienTasartir
409,1,levantaysonrie
349,1,Srtaxxi_
350,1,SombraviolettaM
353,1,ehwwww
355,1,japonesaldia
356,1,SusTraigoHamor
396,1,Milcury
394,1,DanDrummer93
377,1,obsidiankingdom
391,1,ailinchis95
382,1,DemonsPray
383,1,Despeinada_rose
386,1,aprendeingIes
387,1,anecdotariorock
388,1,TranshumanUK
412,1,SrKosta
333,1,RaquelSFOficial
331,1,Geert_Wolf
330,1,BigCoders
426,1,policia
424,1,Yami_Gremory
249,1,qwertee
423,1,Whatboutnope
257,1,matt_gorephoto
262,1,FloorJansen_
265,1,vuelofenix_r3
266,1,VickyPsarakis
243,1,oneplus
269,1,cute_minori
284,1,insomniacgames
301,1,theagonist
315,1,arinacchi
316,1,Elarina_
417,1,_SpiritInBlack
321,1,SimoneSimons
326,1,Japonismo
413,1,OfficialSkidRow
420,1,GuilleSixx
241,1,SalvaValverdePD
270,1,Guiltybrigade
76,1,suuuckmykiedis
18,1,LinkedInEng
19,1,fb_engineering
7,1,Google
1,1,SinAzucarOrg
33,1,clubroboticagra
113,1,TeslaMotors
41,1,pycharm
86,1,SAEDINrock
17,1,AirbnbEng
47,1,jtoy
27,2,karmel
35,2,acanelma
183,2,proyectoCUGR
44,2,wisibilizalas
45,2,yeswetech_
57,2,creativwhisper
60,2,tichatuch
308,2,xDaizu
303,2,afortunating
289,2,Sleepingpoison
83,2,jmkaos
268,2,__Thanda__
267,2,Lachicadechema
264,2,neerareid
235,2,DonJuanRamonGM
77,2,ProsumidorSoc
95,2,arkangel
15,2,JoseAlonso56
541,2,juanmgar
2,2,ccsakuweb
42,3,UGR_Igualdad
3,3,Blitzer_
204,3,Linuxneitor
28,3,anvius
30,3,Kalendium
6,3,aleherse
59,3,amil101
133,3,python_granada
237,3,yabirgb
38,3,bukosabino
81,3,WizMik12
55,3,QuemasdaFrank
118,3,MBOT101
53,3,sofiapiar
67,3,ciherraiz
71,3,iSystemCode
167,3,AsoABUG
70,3,laucabel
22,3,josemlp91
120,3,_jesusmg
152,3,victorobs
10,3,ub3d4
23,3,sinclair_88
61,3,LauraLaureus
9,3,pacocp9
128,3,BQEducacion
130,3,andreshp95
111,3,fdavidcl
88,3,franjromera
309,3,PacheThings
159,3,pedrothdc
115,3,conciti
533,4,javy97
324,4,ScarlettWaltz
125,4,sbarrera0
328,4,superjaviver
218,4,davidcpvm
461,4,danisnotonfire
525,4,Maria_Lawliet
49,4,cochesnet
537,4,volvocar_es
459,4,AmazingPhil
517,4,NereaMathers
